,SH000928 Index,SH000929 Index,SH000930 Index,SH000931 Index,SH000932 Index,SH000933 Index,SH000934 Index,SH000935 Index,SH000936 Index,SH000937 Index,gamma_reg,b_weight
2010-03-19,0.10813770892438733,0.011675620863111885,0.01670060164419896,0.0816119861120459,0.24762955009677468,0.296882887660442,0.21763318304529655,-0.13061428099174716,0.1816745837089277,-0.03133184106343785,0.001,0.5
2010-03-26,0.10813770892438733,0.011675620863111885,0.01670060164419896,0.0816119861120459,0.24762955009677468,0.296882887660442,0.21763318304529655,-0.13061428099174716,0.1816745837089277,-0.03133184106343785,0.001,0.5
2010-04-02,0.10813770892438733,0.011675620863111885,0.01670060164419896,0.0816119861120459,0.24762955009677468,0.296882887660442,0.21763318304529655,-0.13061428099174716,0.1816745837089277,-0.03133184106343785,0.001,0.5
2010-04-09,0.10813770892438733,0.011675620863111885,0.01670060164419896,0.0816119861120459,0.24762955009677468,0.296882887660442,0.21763318304529655,-0.13061428099174716,0.1816745837089277,-0.03133184106343785,0.001,0.5
2010-04-16,0.10538702199371702,-0.0029827535557004556,0.012679770033325231,0.07996599851271323,0.2233315250953431,0.2867079024977376,0.20654549046841902,-0.07233009894073686,0.1995211818703826,-0.03882603797520044,0.001,0.5
2010-04-23,0.10538702199371702,-0.0029827535557004556,0.012679770033325231,0.07996599851271323,0.2233315250953431,0.2867079024977376,0.20654549046841902,-0.07233009894073686,0.1995211818703826,-0.03882603797520044,0.001,0.5
2010-04-30,0.10538702199371702,-0.0029827535557004556,0.012679770033325231,0.07996599851271323,0.2233315250953431,0.2867079024977376,0.20654549046841902,-0.07233009894073686,0.1995211818703826,-0.03882603797520044,0.001,0.5
2010-05-07,0.10538702199371702,-0.0029827535557004556,0.012679770033325231,0.07996599851271323,0.2233315250953431,0.2867079024977376,0.20654549046841902,-0.07233009894073686,0.1995211818703826,-0.03882603797520044,0.001,0.5
2010-05-14,0.08890189508878973,0.0028511211703371037,0.002456556419251736,0.049176530063629424,0.24779709237092523,0.3365710336557728,0.1942367762350754,-0.0556201206315199,0.17457654749518003,-0.04094743186744157,0.001,0.5
2010-05-21,0.08890189508878973,0.0028511211703371037,0.002456556419251736,0.049176530063629424,0.24779709237092523,0.3365710336557728,0.1942367762350754,-0.0556201206315199,0.17457654749518003,-0.04094743186744157,0.001,0.5
2010-05-28,0.08890189508878973,0.0028511211703371037,0.002456556419251736,0.049176530063629424,0.24779709237092523,0.3365710336557728,0.1942367762350754,-0.0556201206315199,0.17457654749518003,-0.04094743186744157,0.001,0.5
2010-06-04,0.08890189508878973,0.0028511211703371037,0.002456556419251736,0.049176530063629424,0.24779709237092523,0.3365710336557728,0.1942367762350754,-0.0556201206315199,0.17457654749518003,-0.04094743186744157,0.001,0.5
2010-06-11,0.12195445625382392,0.008001530744496832,-0.005955104682075205,0.0529529186493058,0.24756860416102622,0.37367526979946264,0.18500101907709565,-0.061476789617676136,0.15352620179483267,-0.07524810618029247,0.001,0.5
2010-06-18,0.12195445625382392,0.008001530744496832,-0.005955104682075205,0.0529529186493058,0.24756860416102622,0.37367526979946264,0.18500101907709565,-0.061476789617676136,0.15352620179483267,-0.07524810618029247,0.001,0.5
2010-06-25,0.12195445625382392,0.008001530744496832,-0.005955104682075205,0.0529529186493058,0.24756860416102622,0.37367526979946264,0.18500101907709565,-0.061476789617676136,0.15352620179483267,-0.07524810618029247,0.001,0.5
2010-06-29,0.12195445625382392,0.008001530744496832,-0.005955104682075205,0.0529529186493058,0.24756860416102622,0.37367526979946264,0.18500101907709565,-0.061476789617676136,0.15352620179483267,-0.07524810618029247,0.001,0.5
2010-07-09,0.11523262377033318,-0.000835955097907029,-0.0009655930818466413,0.06724926528798474,0.2391986040172343,0.33876357111999783,0.19964941028388894,-0.03155947843055691,0.16305922486606372,-0.08979167273519227,0.001,0.5
2010-07-16,0.11523262377033318,-0.000835955097907029,-0.0009655930818466413,0.06724926528798474,0.2391986040172343,0.33876357111999783,0.19964941028388894,-0.03155947843055691,0.16305922486606372,-0.08979167273519227,0.001,0.5
2010-07-23,0.11523262377033318,-0.000835955097907029,-0.0009655930818466413,0.06724926528798474,0.2391986040172343,0.33876357111999783,0.19964941028388894,-0.03155947843055691,0.16305922486606372,-0.08979167273519227,0.001,0.5
2010-07-30,0.11523262377033318,-0.000835955097907029,-0.0009655930818466413,0.06724926528798474,0.2391986040172343,0.33876357111999783,0.19964941028388894,-0.03155947843055691,0.16305922486606372,-0.08979167273519227,0.001,0.5
2010-08-06,0.11084197299566245,0.0033099058234335108,0.006591956789605932,0.0823279631881066,0.24689747670720807,0.34309069573786755,0.18440202374866627,-0.04951276156372089,0.1580470891265453,-0.08599632255337479,0.001,0.5
2010-08-13,0.11084197299566245,0.0033099058234335108,0.006591956789605932,0.0823279631881066,0.24689747670720807,0.34309069573786755,0.18440202374866627,-0.04951276156372089,0.1580470891265453,-0.08599632255337479,0.001,0.5
2010-08-20,0.11084197299566245,0.0033099058234335108,0.006591956789605932,0.0823279631881066,0.24689747670720807,0.34309069573786755,0.18440202374866627,-0.04951276156372089,0.1580470891265453,-0.08599632255337479,0.001,0.5
2010-08-27,0.11084197299566245,0.0033099058234335108,0.006591956789605932,0.0823279631881066,0.24689747670720807,0.34309069573786755,0.18440202374866627,-0.04951276156372089,0.1580470891265453,-0.08599632255337479,0.001,0.5
2010-09-03,0.1091056906164177,0.01678790493114228,0.005984428785274061,0.09749794466133094,0.2601910616009553,0.35488726759564165,0.17524583930582016,-0.069803709303919,0.16022869047159782,-0.11012511866426085,0.001,0.5
2010-09-10,0.1091056906164177,0.01678790493114228,0.005984428785274061,0.09749794466133094,0.2601910616009553,0.35488726759564165,0.17524583930582016,-0.069803709303919,0.16022869047159782,-0.11012511866426085,0.001,0.5
