,SH000928 Index,SH000929 Index,SH000930 Index,SH000931 Index,SH000932 Index,SH000933 Index,SH000934 Index,SH000935 Index,SH000936 Index,SH000937 Index,gamma_reg,b_weight
2010-03-19,0.12787238634501186,-0.006058724083469358,0.0002245637466289016,0.07282060866934126,0.33597205616383025,0.3177357098804709,0.2243598705939105,-0.19847354300331582,0.23806110839602684,-0.1125140367084355,0.001,0.5
2010-03-26,0.12787238634501186,-0.006058724083469358,0.0002245637466289016,0.07282060866934126,0.33597205616383025,0.3177357098804709,0.2243598705939105,-0.19847354300331582,0.23806110839602684,-0.1125140367084355,0.001,0.5
2010-04-02,0.12787238634501186,-0.006058724083469358,0.0002245637466289016,0.07282060866934126,0.33597205616383025,0.3177357098804709,0.2243598705939105,-0.19847354300331582,0.23806110839602684,-0.1125140367084355,0.001,0.5
2010-04-09,0.12787238634501186,-0.006058724083469358,0.0002245637466289016,0.07282060866934126,0.33597205616383025,0.3177357098804709,0.2243598705939105,-0.19847354300331582,0.23806110839602684,-0.1125140367084355,0.001,0.5
2010-04-16,0.13628474091429454,-0.010281845206333157,0.006449716622244299,0.0596116131379376,0.31087960205237036,0.3155704258375833,0.18709101375664194,-0.143779992954994,0.2211124994503516,-0.08293777361009656,0.001,0.5
2010-04-23,0.13628474091429454,-0.010281845206333157,0.006449716622244299,0.0596116131379376,0.31087960205237036,0.3155704258375833,0.18709101375664194,-0.143779992954994,0.2211124994503516,-0.08293777361009656,0.001,0.5
2010-04-30,0.13628474091429454,-0.010281845206333157,0.006449716622244299,0.0596116131379376,0.31087960205237036,0.3155704258375833,0.18709101375664194,-0.143779992954994,0.2211124994503516,-0.08293777361009656,0.001,0.5
2010-05-07,0.13628474091429454,-0.010281845206333157,0.006449716622244299,0.0596116131379376,0.31087960205237036,0.3155704258375833,0.18709101375664194,-0.143779992954994,0.2211124994503516,-0.08293777361009656,0.001,0.5
2010-05-14,0.07585293723712364,-0.03168352702248303,0.0016028201614687043,0.042538449932858574,0.38360565533393315,0.4197231691311989,0.16819706882200097,-0.1269403277615651,0.18693931173631595,-0.11983555757085175,0.001,0.5
2010-05-21,0.07585293723712364,-0.03168352702248303,0.0016028201614687043,0.042538449932858574,0.38360565533393315,0.4197231691311989,0.16819706882200097,-0.1269403277615651,0.18693931173631595,-0.11983555757085175,0.001,0.5
2010-05-28,0.07585293723712364,-0.03168352702248303,0.0016028201614687043,0.042538449932858574,0.38360565533393315,0.4197231691311989,0.16819706882200097,-0.1269403277615651,0.18693931173631595,-0.11983555757085175,0.001,0.5
2010-06-04,0.07585293723712364,-0.03168352702248303,0.0016028201614687043,0.042538449932858574,0.38360565533393315,0.4197231691311989,0.16819706882200097,-0.1269403277615651,0.18693931173631595,-0.11983555757085175,0.001,0.5
2010-06-11,0.06528925798112026,-0.04571192918907213,-0.021226518819992407,0.06743595288664886,0.3592596598716854,0.42985744440485746,0.1853153869096157,-0.09743865202564807,0.1908205048754686,-0.13360110689468357,0.001,0.5
2010-06-18,0.06528925798112026,-0.04571192918907213,-0.021226518819992407,0.06743595288664886,0.3592596598716854,0.42985744440485746,0.1853153869096157,-0.09743865202564807,0.1908205048754686,-0.13360110689468357,0.001,0.5
2010-06-25,0.06528925798112026,-0.04571192918907213,-0.021226518819992407,0.06743595288664886,0.3592596598716854,0.42985744440485746,0.1853153869096157,-0.09743865202564807,0.1908205048754686,-0.13360110689468357,0.001,0.5
2010-06-29,0.06528925798112026,-0.04571192918907213,-0.021226518819992407,0.06743595288664886,0.3592596598716854,0.42985744440485746,0.1853153869096157,-0.09743865202564807,0.1908205048754686,-0.13360110689468357,0.001,0.5
2010-07-09,0.045913770163319524,-0.05082840725918776,-0.029144859491585823,0.0832019439994515,0.3498878008574359,0.37682802614947447,0.18335597590155311,-0.052629193254584,0.2360752140060809,-0.14266027107195772,0.001,0.5
2010-07-16,0.045913770163319524,-0.05082840725918776,-0.029144859491585823,0.0832019439994515,0.3498878008574359,0.37682802614947447,0.18335597590155311,-0.052629193254584,0.2360752140060809,-0.14266027107195772,0.001,0.5
2010-07-23,0.045913770163319524,-0.05082840725918776,-0.029144859491585823,0.0832019439994515,0.3498878008574359,0.37682802614947447,0.18335597590155311,-0.052629193254584,0.2360752140060809,-0.14266027107195772,0.001,0.5
2010-07-30,0.045913770163319524,-0.05082840725918776,-0.029144859491585823,0.0832019439994515,0.3498878008574359,0.37682802614947447,0.18335597590155311,-0.052629193254584,0.2360752140060809,-0.14266027107195772,0.001,0.5
2010-08-06,0.09231479159061493,-0.02483539312826348,-0.0073132129316928265,0.07097532960000733,0.3315911356359178,0.3589354822907022,0.1554739244990032,-0.07452309183667714,0.20872648357440282,-0.11134544929401473,0.001,0.5
2010-08-13,0.09231479159061493,-0.02483539312826348,-0.0073132129316928265,0.07097532960000733,0.3315911356359178,0.3589354822907022,0.1554739244990032,-0.07452309183667714,0.20872648357440282,-0.11134544929401473,0.001,0.5
2010-08-20,0.09231479159061493,-0.02483539312826348,-0.0073132129316928265,0.07097532960000733,0.3315911356359178,0.3589354822907022,0.1554739244990032,-0.07452309183667714,0.20872648357440282,-0.11134544929401473,0.001,0.5
2010-08-27,0.09231479159061493,-0.02483539312826348,-0.0073132129316928265,0.07097532960000733,0.3315911356359178,0.3589354822907022,0.1554739244990032,-0.07452309183667714,0.20872648357440282,-0.11134544929401473,0.001,0.5
2010-09-03,0.08069097534328269,-0.022743382112369148,-0.018352549431902954,0.09622689553745514,0.3427651716275565,0.3920300376883075,0.11945661919952888,-0.03918686136556074,0.20363712753235036,-0.15452403401864823,0.001,0.5
