,.DJUSBMT,.DJUSNCT,.DJUSCYT,.DJUSHCT,.DJUSINT,.DJUSENT,.DJUSTCT,.DJUSTLT,.DJUSUTT,.DJUSFNT,gamma_op
2010-01-01,0.06451197355573238,0.11104683593618328,0.02058758477435374,0.08987872475720879,0.012474112510765786,0.04586149495433715,0.04858603336777273,0.05079182372595836,0.5496959989688747,0.006565417448812977,2
2010-01-08,0.06421215627517965,0.11134087946300289,0.02060354567059269,0.0901034565829584,0.012432788799754926,0.045815047934936674,0.048880450922199774,0.05111307376296677,0.5489245388840036,0.006574061704404729,2
2010-01-15,0.06830603288689935,0.11215895235509192,0.020721357044195886,0.09114332805159056,0.012878373349972305,0.047886579046885314,0.049036433647521256,0.05007202490623228,0.5409774083572954,0.006819510354315581,2
2010-01-22,0.06611851450230825,0.11257472641308547,0.02055936213012867,0.09252017893795467,0.012777924447843965,0.047107656133093284,0.04842087158604779,0.04807538864023886,0.5451132144013345,0.006732162807964482,2
2010-01-29,0.00020565835155457002,0.022124929598098367,0.0003339383965703756,0.8624813205779261,0.00021888509963216264,0.0002969383507374825,0.0003356591198428661,0.00090833047535717,0.11298747907055834,0.0001068609597225644,2
2010-02-05,0.00019702622248526051,0.022259673785410175,0.00033507176160470323,0.862671196912264,0.0002167052452344337,0.0002915003117708998,0.0003263625607984919,0.0009042838418017488,0.11269031977851247,0.00010785958011777653,2
2010-02-12,0.00020214546908954952,0.022538616096798407,0.0003368576795815408,0.8628583579444062,0.00021826008662693126,0.0002941002874754999,0.00033475332329835025,0.0009101714793560698,0.11219907857044847,0.00010765906291889745,2
2010-02-19,0.00020804104367962682,0.022872000023749145,0.0003409434591264861,0.8631982141535037,0.00022052451984335786,0.0002988264000553439,0.0003396106134375868,0.000907112228573466,0.11150750890924466,0.00010721864878648961,2
2010-02-26,0.00033194236782668795,0.007750529951576608,0.0005522486076254327,0.8082189703078184,0.00037510299975539575,0.00054933911327613,0.0005567198229626733,0.0013289636773624104,0.18015006899795172,0.00018611415384463216,2
2010-03-05,0.0003291249386579,0.00774600378677831,0.0005603368863139665,0.8108401281400225,0.0003766517728940315,0.0005405760596955888,0.0005559380646886526,0.0013272695349069838,0.17753430803166373,0.00018966278437847718,2
2010-03-12,0.000342316304303601,0.007815298581644325,0.0005653933455173991,0.8099409430017654,0.0003821864700554629,0.0005457391752105837,0.000560319109671807,0.0013105361856355661,0.17834556743303773,0.00019170039315823828,2
2010-03-19,0.0003444556529654974,0.007820545108381725,0.0005728483507951341,0.8101273462218698,0.00038830755920545306,0.0005498994481989178,0.0005700442323805361,0.001345521032767644,0.1780849443289754,0.00019608806445999187,2
2010-03-26,0.006349811516029688,0.08339453963078423,0.002356096934776855,0.7169396961257395,0.0023522330522932483,0.006993272730014044,0.003200289889419075,0.013395583114120854,0.16043381446107358,0.004584662545748609,2
2010-04-02,0.006471913747856578,0.08459524167776028,0.002430976162063028,0.7163087134501175,0.0023890509109843285,0.006915954593571628,0.003265176928947102,0.01352857478504082,0.15938204699531608,0.004712350748342633,2
2010-04-09,0.006577765760006669,0.08369280097949376,0.0024129563827943873,0.7157608911995789,0.002388322403151608,0.0071252823723915995,0.003224530877371117,0.013495609091656051,0.16063950687297857,0.004682334060577387,2
2010-04-16,0.0067236967094385335,0.08389078367706347,0.002476052558189484,0.7133831506159272,0.0024288141532899567,0.007309958051608242,0.003298214521855337,0.013677095980707018,0.16198297459596347,0.004829259135957371,2
2010-04-23,0.009174781907825447,0.13237254987887667,0.00967357769879644,0.27156087750331703,0.004612353169241093,0.01459039879547211,0.00876165387039439,0.03644374259088991,0.5078259659463538,0.0049840986388331315,2
2010-04-30,0.009255193985792876,0.13215953586103932,0.0098251950920529,0.26519397768942676,0.004700222795448573,0.015000834217234691,0.008785615446047402,0.03602758967480846,0.5139794651240329,0.0050723701141160826,2
2010-05-07,0.009045332436975471,0.13091440660594542,0.009673761038540014,0.2648399664984093,0.004650544085680482,0.014670540145980258,0.008587157883679551,0.036127528015870096,0.5165551619270274,0.0049356013618919205,2
2010-05-14,0.008638824370334221,0.1311507892113035,0.009496009548838925,0.26591425740959784,0.00449833470239351,0.014149885430529661,0.008346769688873485,0.03628214723480174,0.5166915339259419,0.0048314484773851404,2
2010-05-21,0.007171505523962188,0.08989127946199127,0.005718461601383645,0.7029675452900107,0.0034010028272215,0.01062688226747674,0.005057713722912971,0.02496997598792393,0.14455956192187674,0.005636071395240458,2
2010-05-28,0.007055853714670501,0.09072465806188448,0.005758723829071065,0.7029643969371684,0.0033476193818964364,0.010487989026586349,0.005038838413349601,0.02546032228957438,0.14352015279848548,0.005641445547313271,2
2010-06-04,0.007243401362528887,0.09003813534899616,0.005828257188750754,0.703181546823818,0.0033600207726807337,0.010423780977684417,0.005073800315231265,0.025297755886778336,0.14393810053675035,0.005615200786781206,2
2010-06-11,0.0069170631637532655,0.09013004486775696,0.005778566939829419,0.704822330819615,0.0032858975624934445,0.010316307525044425,0.005102129556925912,0.025378257675592934,0.1427871827780295,0.005482219110959241,2
2010-06-18,0.028726703012231194,0.1969353564707514,0.07624677756440035,0.07964871970609061,0.01626964078182408,0.04108950748199542,0.05320243021087181,0.10914098137596998,0.38588727966010883,0.012852603735756515,2
2010-06-25,0.028550373722142017,0.19487756781032495,0.07497817019129202,0.07908507724399456,0.016328209121463738,0.04122404944971441,0.05366067988609561,0.1072424559290385,0.3912728642991176,0.012780552346816397,2
2010-07-02,0.028889263612832384,0.1956320640826139,0.07386331589012914,0.08041741685813639,0.016343817786797426,0.04021997213822998,0.053197768893773645,0.108475433306492,0.3899087197379697,0.01305222769302533,2
