,SH000928 Index,SH000929 Index,SH000930 Index,SH000931 Index,SH000932 Index,SH000933 Index,SH000934 Index,SH000935 Index,SH000936 Index,SH000937 Index,gamma_op
2010-03-19,0.3703011534727625,0.05660017839081022,0.06722932007131167,0.057031410766380165,0.070571458955423,0.07558018812292427,0.05313779073696534,0.05512372218703623,0.10428667246195918,0.09013810483442763,2
2010-03-26,0.36686166421102645,0.05686613456498757,0.06760945783064803,0.05738708366046572,0.07032610998982218,0.07524186975485439,0.05323617230576443,0.05767028829850036,0.10445883486629662,0.0903423845176343,2
2010-04-02,0.3673363522568569,0.056248575834888806,0.06777390632831236,0.05743561643041542,0.07022145981095224,0.07460578713047092,0.05277324262668089,0.05861098218373196,0.10495288160246277,0.09004119579522776,2
2010-04-09,0.3745420492835747,0.05635143858651663,0.06769817596988943,0.05720897131301736,0.06832325550245037,0.07366260209449163,0.052884659937159885,0.05841085860536916,0.1020032730261327,0.08891471568139808,2
2010-04-16,0.0061002488334361005,0.0195943909801312,0.02606168116815062,0.03081204711615776,0.18936285145352338,0.10194399037096856,0.055764710305684535,0.03226328007495037,0.2813122647527083,0.2567845349442892,2
2010-04-23,0.006082699007257094,0.01953011848752606,0.025884407319586005,0.030321719709146315,0.19358165127598967,0.10373241909916375,0.054437325926802525,0.03245234053506455,0.279896281920491,0.25408103671897303,2
2010-04-30,0.005867364471436794,0.01899447111846959,0.025383168649930843,0.0296422053552286,0.1988512046487283,0.10958135594101873,0.050490512705416754,0.033603961350625176,0.2736894777406987,0.25389627801844644,2
2010-05-07,0.0060839165531971625,0.019160591898540885,0.02564571689993724,0.02960418983092529,0.1959874910885173,0.11041069309181799,0.05393802928422691,0.03305043722505183,0.26566818705765316,0.2604507470701321,2
2010-05-14,0.019468424395236453,0.018753861158026998,0.02337720600981503,0.024390775203815503,0.07370220039884945,0.07475199879541186,0.026321311668399003,0.02348332974286177,0.5515788921976281,0.16417200042995564,2
2010-05-21,0.020463697785260263,0.01917124354625335,0.023400572380971672,0.024774224019819546,0.07274231993098845,0.07570047568199119,0.02757595801853338,0.023118378712386263,0.5462596205465478,0.16679350937724818,2
2010-05-28,0.02097487809873855,0.019469815018710875,0.023782438982512102,0.025195305421763632,0.0737860255154198,0.07510688767931908,0.02825903147763433,0.023380632596852746,0.5426757653652439,0.16736921984380496,2
2010-06-04,0.02041889704259102,0.01932727371319285,0.02357792940960256,0.024966742618102215,0.07281996852841052,0.07685723488945126,0.026987920877326044,0.02340695501060997,0.5493694261840224,0.16226765172669116,2
2010-06-11,0.02722644139002231,0.013413520215203326,0.01919532493822121,0.017536328142959703,0.09700169818308069,0.07806827130332702,0.01711266104119022,0.01800201682373194,0.44474055269121493,0.2677031852710487,2
2010-06-18,0.026339312461412422,0.013169102454358556,0.01906863425732704,0.017464581298647232,0.09651393383397988,0.07626123269655403,0.016459705550560547,0.017957361858070488,0.4569522514154166,0.25981388417367324,2
2010-06-25,0.026649029939773288,0.013143167714278741,0.01900616094416494,0.017264755469708033,0.09449209582422158,0.07083889187916508,0.017031188074528178,0.017398519130798085,0.4623965741178312,0.2617796169055309,2
2010-07-02,0.026194752172077247,0.012914230267180813,0.018859580932666986,0.01735880031667683,0.09486243734911493,0.06895098716755498,0.017375202502491166,0.017563335666077377,0.46592257540022464,0.2599980982259349,2
2010-07-09,0.007539764307640251,0.0075921615172029056,0.01007855861269441,0.009786807617839732,0.07633600401480259,0.048514870762033854,0.015041690182659273,0.010765183415108542,0.2623915439172671,0.5519534156527515,2
2010-07-16,0.0076991283257027325,0.00779100973505587,0.010292763668325504,0.010142007351840046,0.07840945364581048,0.050446220475080884,0.015099524208999895,0.010906172032389052,0.2639440978308993,0.5452696227258962,2
