,HSCIIT,HSCIH,HSCIEN,HSCICD,HSCIPC,HSCIFN,HSCIMT,HSCICS,HSCIUT,HSCITC,HSCIIN,gamma_op,b_weight
2010-01,0.04545458421665458,0.48185669384238233,0.04545458960402284,0.045454552637555816,0.04545455068597615,0.04545455064785556,0.0454545691463767,0.10905225289680617,0.045454550035775775,0.0454545578742816,0.045454548412312494,2,0.5
2010-02,0.04545455492614941,0.5453875072464334,0.04545455425155228,0.04545454952803659,0.04545454828659308,0.045454548350328486,0.045454552159639644,0.045521537420259536,0.045454548619441794,0.045454551827003684,0.04545454738456222,2,0.5
2010-03,0.04545462418794225,0.5454220851196362,0.04545460823739374,0.04545455970393096,0.04545455553858144,0.045454554890806145,0.045454575128046154,0.04548674543737104,0.045454555276472595,0.04545458602413251,0.04545455045568704,2,0.5
2010-04,0.045454547098982154,0.5454359504648516,0.04545454723823655,0.04545454638531529,0.0454545462204804,0.04545454618035322,0.04545454673605398,0.04547313067698575,0.04545454625457805,0.045454546787231306,0.04545454595693157,2,0.5
2010-05,0.04545456854682713,0.5454523459408966,0.045454575509852345,0.045454551267342644,0.04545454904211229,0.04545454935069628,0.045454560712983476,0.04545664553182186,0.04545454919006583,0.04545455729315222,0.04545454761424928,2,0.5
2010-06,0.045454561251497105,0.5454539712818316,0.04545456843846061,0.045454549919144945,0.04545454848384133,0.04545454876390539,0.04545455815366802,0.04545504233149018,0.04545454897941773,0.04545455519248505,0.04545454720425807,2,0.5
2010-07,0.04545455278893493,0.5454536509816494,0.045454557147757584,0.045454548749484236,0.045454547732008535,0.04545454803453174,0.04545455202934063,0.04545539353467714,0.045454548444375444,0.04545455376149078,0.04545454679574966,2,0.5
2010-08,0.04545455483679447,0.5454536878283062,0.04545455238515431,0.04545454876956278,0.04545454767691024,0.04545454820316876,0.04545455423095634,0.04545535873952528,0.04545454837812989,0.045454551900376935,0.04545454705111491,2,0.5
2010-09,0.04545455235629824,0.5454538295964084,0.04545455267132922,0.04545454889399295,0.04545454775693116,0.04545454817066329,0.045454556041707894,0.045455217136099915,0.04545454867970844,0.0454545514297077,0.04545454726715282,2,0.5
2010-10,0.04545454629294634,0.5454466632587189,0.04545454632544915,0.04545454607498453,0.045454545976518074,0.045454546002066484,0.04545454644596833,0.04546242147239207,0.04545454606282194,0.04545454615556993,0.04545454593256425,2,0.5
2010-11,0.0454545540091467,0.507722171105172,0.04545456004996748,0.04545455016788189,0.045454548490828715,0.045454548816791084,0.04545456371908715,0.08318685626434234,0.04545454842931324,0.04545455073189777,0.04545454821557153,2,0.5
2010-12,0.04545455875991031,0.5202980077978718,0.04545458113301973,0.045454554176803455,0.04545455071165649,0.0454545516573134,0.04545457530129558,0.0706109649798889,0.04545455095673613,0.045454553979701356,0.04545455054580279,2,0.5
2011-01,0.045454553508524155,0.49828225103090384,0.04545458667139824,0.0454545516758568,0.04545454929258463,0.04545454978773185,0.045454568683650526,0.09262673831234514,0.04545454932628814,0.04545455260380596,0.045454549106910797,2,0.5
2011-02,0.04545457728206023,0.5144381983427575,0.04545461163781974,0.045454565138827965,0.045454554840914534,0.04545455708255489,0.04545458184633277,0.07647067053275061,0.0454545580355689,0.04545457125446968,0.04545455400594308,2,0.5
2011-03,0.04545463482864233,0.4965787125497425,0.045454700337876464,0.04545458997898395,0.0454545695805587,0.045454578593817685,0.04545460581374974,0.09432985073032016,0.045454582089913965,0.04545460860013703,0.0454545668962575,2,0.5
2011-04,0.04545457950044541,0.436641231526839,0.045454922258060096,0.04545456749414106,0.045454560245188014,0.04545456339368751,0.04545457855785415,0.1542673037270254,0.04545456253978569,0.04545457134524458,0.04545455941172913,2,0.5
2011-05,0.045454569897001196,0.39227240258644025,0.04545461683067683,0.0454545623043582,0.04545455746219776,0.04545456069130549,0.04545456481785943,0.19863648073127754,0.045454563170384786,0.04545456293971746,0.045454558568781084,2,0.5
2011-06,0.04545455646509887,0.38330881246710197,0.04545459547237347,0.0454545564856245,0.045454553223762156,0.04545455401929417,0.04545455772538129,0.20760014640503266,0.04545455645307329,0.04545455776669149,0.045454553516566264,2,0.5
2011-07,0.04545456103938938,0.425604291798645,0.0454545959269664,0.045454556659178934,0.045454554258411745,0.045454554254061225,0.045454559319334724,0.16530465719843257,0.04545455700018369,0.04545455770213988,0.045454554843256494,2,0.5
2011-08,0.04545455546680816,0.39139472569970146,0.04545457013639214,0.0454545531705289,0.045454552031486545,0.04545455194116127,0.04545455577308304,0.19951427403230443,0.04545455576381955,0.04545455425974986,0.04545455172496462,2,0.5
2011-09,0.04545455321484506,0.351485852142835,0.045454574401119455,0.045454552651845115,0.04545455097949366,0.04545455106198359,0.045454554172705205,0.2394231477284291,0.04545455626902175,0.045454556464417796,0.045454550913304276,2,0.5
2011-10,0.04545456467886535,0.41831728715028166,0.04545474042657656,0.04545456226259418,0.04545455859039902,0.045454560334094514,0.04545456084152986,0.17259142733961064,0.045454588458536185,0.04545459261132659,0.045454557306185556,2,0.5
2011-11,0.045454576793537725,0.3704455042727971,0.045455244016262705,0.04545457449918928,0.04545456853743648,0.04545457047077073,0.04545457159202086,0.22046263653247966,0.04545460150212046,0.04545458457222419,0.04545456721116075,2,0.5
2011-12,0.0454545615467473,0.39442814246857844,0.04545462983824226,0.04545455922698299,0.04545455617766909,0.045454557255218915,0.04545455575189764,0.19648072911340025,0.04545458399517959,0.04545456750072013,0.04545455712536335,2,0.5
2012-01,0.045454631376938656,0.4781016421987285,0.04545498029130892,0.04545461316062795,0.04545459657556274,0.04545460216735989,0.045454592834563316,0.11280621815891494,0.0454548423418747,0.04545467376349282,0.04545460713062756,2,0.5
2012-02,0.045454716349118254,0.42612629207750163,0.12251631632183967,0.045454639575682576,0.04545462228123183,0.045454643666101226,0.04545461105312003,0.08771910608555877,0.04545568977574399,0.04545474252889801,0.04545462028520403,2,0.5
2012-03,0.04545474757233256,0.43415898982845946,0.15672714019563133,0.04545460585141971,0.04545459802223299,0.04545461418024381,0.04545457894957669,0.04547408278420284,0.045457346590596186,0.04545470544328015,0.045454590582024355,2,0.5
2012-04,0.045455753778542586,0.4489146317405617,0.06526943020658743,0.04545480670781175,0.04545473700641537,0.04545479555466124,0.045454688762825726,0.12217563496879567,0.0454557708982532,0.04545499337599805,0.04545475699954726,2,0.5
2012-05,0.04545518180744206,0.42086302875272197,0.12367998465334887,0.04545466455309059,0.04545463707914549,0.04545466179064124,0.04545460465267671,0.09181816559270141,0.04545558226658939,0.0454548454513197,0.04545464340032269,2,0.5
2012-06,0.04545473441548471,0.45306696718848105,0.045457323026336115,0.04545456548512553,0.045454562616490286,0.04545456857047135,0.04545455540502369,0.13782805166324694,0.04546550439944321,0.045454598106695915,0.0454545691232013,2,0.5
